Unnamed: 0,Hauptdiagnose,Ausland-unbekannt-ohne Angabe,Population,Demand_per_1000
585,K86,52,3868.0,13.44364012409514
586,K90,3,396.0,7.575757575757576
587,K91,36,1908.0,18.867924528301884
588,K92,176,8236.0,21.369596891694997
589,L01,6,207.0,28.985507246376812
590,L02,202,8036.0,25.136884021901444
591,L03,253,6577.0,38.46738634635852
592,L04,8,435.0,18.39080459770115
593,L05,85,4086.0,20.802741067058246
594,L08,9,474.0,18.9873417721519
595,L10,4,136.0,29.41176470588235
596,L12,3,856.0,3.5046728971962615
597,L13,1,43.0,23.25581395348837
598,L20,24,1469.0,16.337644656228726
599,L21,1,15.0,66.66666666666667
600,L23,8,312.0,25.64102564102564
601,L24,1,86.0,11.627906976744185
602,L27,16,716.0,22.3463687150838
603,L28,9,269.0,33.45724907063197
604,L29,6,80.0,75.0
605,L30,7,1376.0,5.087209302325582
606,L40,33,2008.0,16.43426294820717
607,L43,1,177.0,5.649717514124294
608,L50,32,1025.0,31.21951219512195
609,L51,6,140.0,42.857142857142854
610,L52,1,60.0,16.666666666666668
611,L53,2,136.0,14.705882352941176
612,L55,1,23.0,43.47826086956522
613,L57,1,386.0,2.5906735751295336
614,L59,1,20.0,50.0
615,L60,2,236.0,8.474576271186441
616,L66,1,14.0,71.42857142857143
617,L72,32,2363.0,13.542107490478205
618,L73,7,1228.0,5.700325732899023
619,L74,2,152.0,13.157894736842104
620,L80,1,9.0,111.1111111111111
621,L82,1,179.0,5.58659217877095
622,L88,1,279.0,3.5842293906810037
623,L89,20,2247.0,8.900756564307965
624,L90,11,395.0,27.848101265822784
625,L91,3,141.0,21.27659574468085
626,L92,5,307.0,16.286644951140065
627,L93,2,148.0,13.513513513513514
628,L94,2,197.0,10.15228426395939
629,L95,3,101.0,29.7029702970297
630,L97,24,928.0,25.862068965517242
631,L98,19,1284.0,14.797507788161994
632,M00,50,2754.0,18.15541031227306
633,M02,3,339.0,8.849557522123893
634,M05,22,2090.0,10.526315789473683
635,M06,27,2177.0,12.40238860817639
636,M08,34,578.0,58.8235294117647
637,M10,26,1876.0,13.859275053304904
638,M11,1,126.0,7.936507936507936
639,M12,5,296.0,16.89189189189189
640,M13,9,1003.0,8.97308075772682
641,M15,3,668.0,4.491017964071856
642,M16,434,27368.0,15.857936275942706
643,M17,422,28508.0,14.802862354426829
644,M18,23,1076.0,21.37546468401487
645,M19,88,3912.0,22.494887525562373
646,M20,86,4791.0,17.950323523272804
647,M21,160,3080.0,51.948051948051955
648,M22,26,1120.0,23.214285714285715
649,M23,176,7285.0,24.159231297185997
650,M24,173,2095.0,82.57756563245823
651,M25,67,4489.0,14.925373134328359
652,M30,4,191.0,20.942408376963353
653,M31,34,2584.0,13.157894736842104
654,M32,7,734.0,9.536784741144414
655,M33,11,487.0,22.58726899383984
656,M34,8,1559.0,5.131494547787042
657,M35,19,2367.0,8.027038445289396
658,M40,6,101.0,59.4059405940594
659,M41,60,618.0,97.08737864077669
660,M42,35,1250.0,28.0
661,M43,23,2000.0,11.5
662,M45,5,555.0,9.00900900900901
663,M46,24,1877.0,12.786361214704314
664,M47,69,3630.0,19.008264462809915
665,M48,277,14642.0,18.918180576423985
666,M50,62,3063.0,20.241593209271954
667,M51,405,16147.0,25.082058586734377
668,M53,49,2603.0,18.82443334613907
669,M54,498,23814.0,20.91206853111615
670,M60,20,582.0,34.364261168384886
671,M61,3,73.0,41.0958904109589
672,M62,46,1923.0,23.92095683827353
673,M65,43,1234.0,34.84602917341977
674,M66,5,436.0,11.46788990825688
675,M67,24,899.0,26.696329254727477
676,M70,83,1616.0,51.36138613861386
677,M71,12,556.0,21.58273381294964
678,M72,39,1632.0,23.89705882352941
679,M75,225,9938.0,22.640370295834174
680,M76,7,264.0,26.515151515151516
681,M77,18,717.0,25.10460251046025
682,M79,110,3788.0,29.03907074973601
683,M80,45,5188.0,8.673862760215883
684,M81,2,201.0,9.950248756218905
685,M84,103,2684.0,38.375558867362145
686,M85,11,380.0,28.94736842105263
687,M86,59,1922.0,30.69719042663892
688,M87,32,1627.0,19.668100799016592
689,M89,7,435.0,16.091954022988507
690,M91,5,101.0,49.504950495049506
691,M92,3,48.0,62.5
692,M93,15,694.0,21.613832853025936
693,M94,26,906.0,28.69757174392936
694,M95,9,679.0,13.254786450662738
695,M96,25,1023.0,24.437927663734115
696,N00,3,121.0,24.793388429752067
697,N02,2,167.0,11.976047904191617
698,N03,4,115.0,34.78260869565217
699,N04,8,595.0,13.445378151260504
700,N05,3,118.0,25.423728813559325
701,N10,145,4567.0,31.749507335231005
702,N11,1,124.0,8.064516129032258
703,N12,24,566.0,42.40282685512368
704,N13,900,25934.0,34.703478059689985
705,N15,6,328.0,18.29268292682927
706,N17,171,12538.0,13.638538841920562
707,N18,66,7109.0,9.28400618933746
708,N19,4,277.0,14.44043321299639
709,N20,654,13023.0,50.21884358442755
710,N21,14,827.0,16.928657799274486
711,N23,50,888.0,56.306306306306304
712,N26,2,84.0,23.809523809523807
713,N28,23,880.0,26.136363636363633
714,N30,83,7096.0,11.696730552423901
715,N31,10,695.0,14.388489208633095
716,N32,41,2404.0,17.054908485856902
717,N34,1,105.0,9.523809523809526
718,N35,27,1775.0,15.211267605633802
719,N36,9,504.0,17.857142857142858
720,N39,367,27050.0,13.56746765249538
721,N40,211,10191.0,20.704543224413698
722,N41,28,941.0,29.75557917109458
723,N42,5,412.0,12.135922330097086
724,N43,21,1686.0,12.455516014234876
725,N44,37,960.0,38.54166666666667
726,N45,89,2421.0,36.76166873192895
727,N47,5,1318.0,3.7936267071320184
728,N48,16,647.0,24.729520865533228
729,N49,34,901.0,37.73584905660377
730,N50,12,427.0,28.10304449648712
731,N60,6,345.0,17.391304347826086
732,N61,23,996.0,23.092369477911646
733,N62,9,647.0,13.910355486862443
734,N64,4,237.0,16.877637130801688
735,N70,52,1072.0,48.507462686567166
736,N71,4,231.0,17.316017316017316
737,N72,2,81.0,24.691358024691358
738,N73,4,423.0,9.456264775413711
739,N75,16,431.0,37.12296983758701
740,N76,15,1037.0,14.46480231436837
741,N80,116,3197.0,36.284016265248674
742,N81,64,6146.0,10.413276928083306
743,N82,6,376.0,15.957446808510637
744,N83,123,3913.0,31.433682596473293
745,N84,21,1645.0,12.76595744680851
746,N85,11,1283.0,8.57365549493375
747,N87,8,608.0,13.157894736842104
748,N88,3,117.0,25.64102564102564
749,N89,5,209.0,23.923444976076556
750,N90,2,506.0,3.952569169960474
751,N92,54,2303.0,23.44767694311767
752,N93,9,385.0,23.376623376623378
753,N94,11,459.0,23.965141612200433
754,N95,10,894.0,11.185682326621924
755,N97,9,439.0,20.50113895216401
756,N98,2,130.0,15.384615384615385
757,N99,25,1777.0,14.068655036578503
758,O00,75,1759.0,42.63786242183058
759,O02,33,727.0,45.39202200825309
760,O03,46,1196.0,38.46153846153847
761,O04,31,906.0,34.216335540838855
762,O05,14,143.0,97.9020979020979
763,O06,46,744.0,61.82795698924731
764,O07,1,12.0,83.33333333333333
765,O08,2,201.0,9.950248756218905
766,O10,10,526.0,19.011406844106464
767,O11,2,178.0,11.235955056179774
768,O12,7,143.0,48.95104895104895
769,O13,50,1029.0,48.590864917395535
770,O14,86,1523.0,56.46749835850295
771,O15,4,36.0,111.1111111111111
772,O16,1,42.0,23.809523809523807
773,O20,70,1812.0,38.63134657836645
774,O21,94,2122.0,44.29783223374175
775,O22,5,94.0,53.191489361702125
776,O23,53,989.0,53.589484327603635
777,O24,69,2482.0,27.800161160354552
778,O26,189,4112.0,45.963035019455255
779,O28,51,799.0,63.82978723404255
780,O30,28,728.0,38.46153846153847
781,O32,122,2137.0,57.08937763219467
782,O33,43,589.0,73.00509337860781
783,O34,523,7383.0,70.83841256941622
784,O35,16,378.0,42.32804232804233
785,O36,160,3455.0,46.30969609261939
786,O40,9,194.0,46.391752577319586
787,O41,42,847.0,49.586776859504134
788,O42,655,11556.0,56.680512287988925
789,O43,23,340.0,67.6470588235294
790,O44,44,826.0,53.26876513317191
791,O45,17,251.0,67.72908366533864
792,O46,49,924.0,53.03030303030303
793,O47,54,2051.0,26.328620185275476
794,O48,363,4632.0,78.3678756476684
795,O60,182,3580.0,50.837988826815646
796,O61,27,432.0,62.5
797,O62,240,3253.0,73.77805102981863
798,O63,85,663.0,128.2051282051282
799,O64,152,2981.0,50.98960080509896
800,O65,71,1290.0,55.03875968992248
801,O66,37,769.0,48.11443433029909
802,O68,719,8604.0,83.56578335657834
803,O69,198,1482.0,133.60323886639677
804,O70,521,8324.0,62.59010091302258
805,O71,172,2020.0,85.14851485148516
806,O72,31,1009.0,30.723488602576808
807,O73,7,227.0,30.837004405286343
808,O74,3,78.0,38.46153846153847
809,O75,136,1440.0,94.44444444444444
810,O80,1035,18833.0,54.956724897785804
811,O81,11,372.0,29.56989247311828
812,O82,216,2108.0,102.46679316888046
813,O85,15,157.0,95.54140127388536
814,O86,5,234.0,21.367521367521366
815,O88,1,13.0,76.92307692307693
816,O89,2,22.0,90.9090909090909
817,O90,18,375.0,48.0
818,O91,19,423.0,44.917257683215134
819,O92,14,52.0,269.2307692307692
820,O98,25,560.0,44.642857142857146
821,O99,188,3797.0,49.512773242033184
822,P01,1,29.0,34.48275862068965
823,P02,3,95.0,31.578947368421055
824,P03,3,24.0,125.0
825,P04,10,236.0,42.3728813559322
826,P05,266,2633.0,101.02544625902013
827,P07,365,6646.0,54.920252783629245
828,P08,526,3031.0,173.54008578027052
829,P12,8,138.0,57.971014492753625
830,P13,2,36.0,55.55555555555555
831,P14,2,15.0,133.33333333333334
832,P15,1,11.0,90.9090909090909
833,P20,6,510.0,11.76470588235294
834,P21,86,613.0,140.2936378466558
835,P22,111,2544.0,43.63207547169811
836,P23,3,157.0,19.108280254777068
837,P24,3,93.0,32.25806451612903
838,P28,87,1111.0,78.3078307830783
839,P29,7,234.0,29.914529914529915
840,P36,13,200.0,65.0
841,P37,19,316.0,60.12658227848102
842,P38,3,30.0,100.0
843,P39,53,1154.0,45.92720970537262
844,P52,2,29.0,68.9655172413793
845,P54,3,63.0,47.61904761904761
846,P55,9,143.0,62.93706293706294
847,P58,1,67.0,14.925373134328359
848,P59,86,2081.0,41.326285439692455
849,P61,7,109.0,64.22018348623854
850,P70,86,1325.0,64.9056603773585
851,P72,1,6.0,166.66666666666666
852,P74,5,126.0,39.682539682539684
853,P76,1,23.0,43.47826086956522
854,P78,1,57.0,17.543859649122805
855,P80,13,149.0,87.24832214765101
856,P81,10,127.0,78.74015748031496
857,P83,6,103.0,58.25242718446602
858,P90,1,65.0,15.384615384615385
859,P92,46,1023.0,44.965786901270775
860,P94,1,16.0,62.5
861,P95,5,27.0,185.18518518518516
862,P96,37,158.0,234.1772151898734
863,Q01,1,17.0,58.8235294117647
864,Q03,4,77.0,51.948051948051955
865,Q04,2,123.0,16.260162601626018
866,Q05,1,52.0,19.230769230769234
867,Q06,4,49.0,81.63265306122449
868,Q07,5,77.0,64.93506493506493
869,Q10,9,103.0,87.37864077669903
870,Q11,15,6.0,2500.0
871,Q12,3,63.0,47.61904761904761
872,Q13,1,20.0,50.0
873,Q14,1,15.0,66.66666666666667
874,Q15,2,115.0,17.391304347826086
875,Q16,2,38.0,52.63157894736842
876,Q17,6,107.0,56.074766355140184
877,Q18,12,517.0,23.21083172147002
878,Q20,42,182.0,230.76923076923077
879,Q21,98,1505.0,65.11627906976744
880,Q22,36,145.0,248.27586206896552
881,Q23,77,310.0,248.38709677419354
882,Q24,9,89.0,101.12359550561797
883,Q25,66,351.0,188.03418803418802
884,Q26,10,47.0,212.7659574468085
885,Q27,62,198.0,313.13131313131316
886,Q28,28,222.0,126.12612612612611
887,Q30,1,63.0,15.873015873015872
888,Q31,1,65.0,15.384615384615385
889,Q32,1,18.0,55.55555555555555
890,Q33,4,42.0,95.23809523809523
891,Q34,2,24.0,83.33333333333333
892,Q35,6,149.0,40.26845637583892
893,Q37,10,339.0,29.49852507374631
894,Q38,8,381.0,20.99737532808399
895,Q39,8,103.0,77.66990291262135
896,Q40,3,168.0,17.857142857142858
897,Q42,5,69.0,72.46376811594203
898,Q43,18,228.0,78.94736842105263
899,Q44,7,138.0,50.72463768115942
900,Q45,1,27.0,37.03703703703704
901,Q50,3,119.0,25.210084033613445
902,Q51,4,44.0,90.9090909090909
903,Q52,3,51.0,58.8235294117647
904,Q53,13,920.0,14.130434782608695
905,Q54,4,348.0,11.494252873563218
906,Q55,2,224.0,8.928571428571429
907,Q61,2,103.0,19.41747572815534
908,Q62,16,546.0,29.304029304029303
909,Q63,3,80.0,37.5
910,Q64,7,218.0,32.11009174311927
911,Q65,35,627.0,55.82137161084529
912,Q66,33,916.0,36.02620087336245
913,Q67,17,234.0,72.64957264957266
914,Q68,3,68.0,44.11764705882353
915,Q69,3,86.0,34.883720930232556
916,Q70,1,76.0,13.157894736842104
917,Q71,1,31.0,32.25806451612903
918,Q72,14,86.0,162.79069767441862
919,Q74,10,215.0,46.51162790697674
920,Q75,11,166.0,66.26506024096386
921,Q76,3,70.0,42.857142857142854
922,Q77,1,22.0,45.45454545454545
923,Q78,7,83.0,84.33734939759036
924,Q79,3,86.0,34.883720930232556
925,Q81,2,12.0,166.66666666666666
926,Q82,7,180.0,38.88888888888889
927,Q83,2,105.0,19.04761904761905
928,Q85,9,236.0,38.13559322033898
929,Q89,1,36.0,27.777777777777775
930,Q93,2,26.0,76.92307692307693
931,R00,105,3976.0,26.408450704225352
932,R01,1,51.0,19.607843137254903
933,R02,12,588.0,20.408163265306122
934,R03,4,111.0,36.03603603603604
935,R04,83,4440.0,18.693693693693692
936,R05,28,573.0,48.865619546247814
937,R06,130,4824.0,26.9485903814262
938,R07,649,12184.0,53.26657912015759
939,R09,9,336.0,26.785714285714285
940,R10,409,12714.0,32.16926223061192
941,R11,95,3218.0,29.52144188937228
942,R12,1,36.0,27.777777777777775
943,R13,33,1478.0,22.32746955345061
944,R14,9,178.0,50.561797752808985
945,R15,1,322.0,3.105590062111801
946,R16,1,62.0,16.129032258064516
947,R17,3,199.0,15.07537688442211
948,R18,20,1667.0,11.99760047990402
949,R19,9,458.0,19.650655021834062
950,R20,106,2591.0,40.91084523350058
951,R21,7,80.0,87.5
952,R22,9,223.0,40.35874439461883
953,R23,10,230.0,43.47826086956522
954,R25,10,436.0,22.93577981651376
955,R26,57,3304.0,17.25181598062954
956,R27,2,114.0,17.543859649122805
957,R29,17,1475.0,11.52542372881356
958,R31,30,4081.0,7.351139426611124
959,R33,28,1311.0,21.35774218154081
960,R35,2,21.0,95.23809523809523
961,R39,9,469.0,19.189765458422176
962,R40,172,2413.0,71.28056361375882
963,R41,36,926.0,38.8768898488121
964,R42,171,7258.0,23.56020942408377
965,R43,1,31.0,32.25806451612903
966,R44,2,94.0,21.27659574468085
967,R45,15,284.0,52.816901408450704
968,R46,5,51.0,98.0392156862745
969,R47,12,424.0,28.30188679245283
970,R49,1,71.0,14.084507042253522
971,R50,53,1718.0,30.849825378346914
972,R51,148,3888.0,38.065843621399175
973,R52,10,806.0,12.40694789081886
974,R53,23,992.0,23.185483870967744
975,R54,3,101.0,29.7029702970297
976,R55,517,16429.0,31.468744293627122
977,R56,144,2513.0,57.30202944687624
978,R57,27,630.0,42.857142857142854
979,R58,2,254.0,7.874015748031496
980,R59,20,1216.0,16.44736842105263
981,R60,9,347.0,25.936599423631126
982,R62,1,338.0,2.9585798816568047
983,R63,33,2899.0,11.383235598482235
984,R64,1,128.0,7.8125
985,R68,4,100.0,40.0
986,R72,1,18.0,55.55555555555555
987,R73,3,74.0,40.54054054054054
988,R74,7,298.0,23.48993288590604
989,R77,5,318.0,15.723270440251572
990,R79,4,124.0,32.25806451612903
991,R80,1,42.0,23.809523809523807
992,R83,1,25.0,40.0
993,R87,1,53.0,18.867924528301884
994,R89,1,5.0,200.0
995,R90,10,255.0,39.21568627450981
996,R91,18,1028.0,17.509727626459146
997,R93,15,628.0,23.88535031847134
998,R94,13,568.0,22.887323943661972
999,S00,411,6286.0,65.38339166401528
1000,S01,86,1738.0,49.482163406214035
1001,S02,382,5623.0,67.93526587231015
1002,S03,1,82.0,12.195121951219512
1003,S04,2,15.0,133.33333333333334
1004,S05,77,662.0,116.3141993957704
1005,S06,1805,40414.0,44.66274063443361
1006,S08,17,128.0,132.8125
1007,S09,5,151.0,33.11258278145696
1008,S10,7,154.0,45.45454545454545
1009,S11,10,64.0,156.25
1010,S12,104,1925.0,54.02597402597402
1011,S13,189,1475.0,128.135593220339
1012,S14,12,181.0,66.29834254143645
1013,S15,2,24.0,83.33333333333333
1014,S16,1,3.0,333.3333333333333
1015,S20,272,2819.0,96.48811635331678
1016,S21,13,108.0,120.37037037037037
1017,S22,488,9980.0,48.897795591182366
1018,S23,1,72.0,13.888888888888888
1019,S24,4,61.0,65.57377049180329
1020,S25,3,24.0,125.0
1021,S26,8,56.0,142.85714285714286
1022,S27,166,1750.0,94.85714285714286
1023,S29,8,82.0,97.5609756097561
1024,S30,194,4204.0,46.1465271170314
1025,S31,38,428.0,88.78504672897196
1026,S32,412,14367.0,28.676828843878333
1027,S33,9,120.0,75.0
1028,S34,2,25.0,80.0
1029,S35,1,46.0,21.73913043478261
1030,S36,86,854.0,100.70257611241217
1031,S37,29,455.0,63.73626373626373
1032,S39,35,650.0,53.84615384615385
1033,S40,30,502.0,59.76095617529881
1034,S41,13,135.0,96.29629629629629
1035,S42,538,17157.0,31.357463426006877
1036,S43,146,2649.0,55.115137787844475
1037,S44,1,16.0,62.5
1038,S45,4,22.0,181.8181818181818
1039,S46,53,1956.0,27.096114519427402
1040,S50,18,284.0,63.38028169014084
1041,S51,40,602.0,66.44518272425249
1042,S52,765,20789.0,36.79830679686373
1043,S53,26,710.0,36.61971830985915
1044,S54,7,114.0,61.40350877192982
1045,S55,16,108.0,148.14814814814815
1046,S56,24,239.0,100.418410041841
1047,S59,1,10.0,100.0
1048,S60,15,235.0,63.82978723404255
1049,S61,57,1208.0,47.185430463576154
1050,S62,179,2879.0,62.174366099340055
1051,S63,25,681.0,36.71071953010279
1052,S64,31,470.0,65.95744680851064
1053,S65,21,251.0,83.66533864541832
1054,S66,103,1693.0,60.83874778499705
1055,S67,4,8.0,500.0
1056,S68,83,782.0,106.13810741687979
1057,S70,57,2299.0,24.793388429752067
1058,S71,24,243.0,98.76543209876543
1059,S72,642,32502.0,19.75263060734724
1060,S73,20,329.0,60.79027355623101
1061,S75,5,33.0,151.51515151515153
1062,S76,66,1377.0,47.93028322440087
1063,S80,70,2587.0,27.05836876691148
1064,S81,48,998.0,48.09619238476954
1065,S82,958,19733.0,48.548117366847414
1066,S83,204,4960.0,41.12903225806452
1067,S84,1,12.0,83.33333333333333
1068,S85,2,46.0,43.47826086956522
1069,S86,74,1806.0,40.974529346622376
1070,S87,1,8.0,125.0
1071,S88,2,8.0,250.0
1072,S90,33,264.0,125.0
1073,S91,19,288.0,65.97222222222223
1074,S92,253,2810.0,90.0355871886121
1075,S93,37,909.0,40.7040704070407
1076,S96,10,144.0,69.44444444444444
1077,S97,2,18.0,111.1111111111111
1078,S98,4,32.0,125.0
1079,S99,1,6.0,166.66666666666666
1080,T00,4,29.0,137.9310344827586
1081,T01,1,13.0,76.92307692307693
1082,T07,1,9.0,111.1111111111111
1083,T08,1,6.0,166.66666666666666
1084,T09,2,47.0,42.5531914893617
1085,T14,9,199.0,45.22613065326633
1086,T15,5,57.0,87.71929824561403
1087,T16,1,28.0,35.714285714285715
1088,T17,21,652.0,32.20858895705521
1089,T18,72,1477.0,48.747461069735955
1090,T19,3,98.0,30.612244897959183
1091,T20,24,228.0,105.26315789473684
1092,T21,46,422.0,109.00473933649289
1093,T22,34,335.0,101.49253731343283
1094,T23,27,439.0,61.50341685649203
1095,T24,30,481.0,62.37006237006237
1096,T25,20,226.0,88.49557522123894
1097,T26,19,179.0,106.14525139664805
1098,T27,3,8.0,375.0
1099,T28,3,45.0,66.66666666666667
1100,T29,1,24.0,41.666666666666664
1101,T30,1,12.0,83.33333333333333
1102,T33,1,9.0,111.1111111111111
1103,T34,8,39.0,205.1282051282051
1104,T35,1,7.0,142.85714285714286
1105,T38,1,41.0,24.390243902439025
1106,T39,8,263.0,30.418250950570343
1107,T40,5,114.0,43.859649122807014
1108,T42,21,369.0,56.91056910569105
1109,T43,21,533.0,39.39962476547842
1110,T45,2,124.0,16.129032258064516
1111,T49,1,9.0,111.1111111111111
1112,T50,15,402.0,37.31343283582089
1113,T51,9,149.0,60.40268456375839
1114,T52,2,39.0,51.28205128205128
1115,T53,1,,
1116,T54,1,36.0,27.777777777777775
1117,T55,1,45.0,22.22222222222222
1118,T58,32,316.0,101.26582278481013
1119,T59,19,270.0,70.37037037037038
1120,T61,4,12.0,333.3333333333333
1121,T62,5,184.0,27.17391304347826
1122,T63,13,500.0,26.0
1123,T65,11,120.0,91.66666666666666
1124,T67,10,134.0,74.62686567164178
1125,T68,32,273.0,117.21611721611721
1126,T69,3,6.0,500.0
1127,T70,11,12.0,916.6666666666666
1128,T71,2,45.0,44.44444444444444
1129,T75,33,795.0,41.50943396226415
1130,T78,164,4372.0,37.51143641354071
1131,T79,33,592.0,55.74324324324324
1132,T80,5,142.0,35.21126760563381
1133,T81,161,9402.0,17.12401616677303
1134,T82,102,10705.0,9.528257823446987
1135,T83,19,2178.0,8.723599632690542
1136,T84,203,12824.0,15.829694323144103
1137,T85,77,3945.0,19.518377693282638
1138,T86,54,2368.0,22.804054054054053
1139,T87,21,1052.0,19.96197718631179
1140,T88,22,791.0,27.81289506953224
1141,T89,5,224.0,22.321428571428573
1142,U04,3,16.0,187.5
1143,U10,2,162.0,12.345679012345679
1144,Z00,13,130.0,100.0
1145,Z01,23,1557.0,14.771997430956969
1146,Z02,3,8.0,375.0
1147,Z03,433,2973.0,145.6441305079045
1148,Z04,69,522.0,132.183908045977
1149,Z08,11,1185.0,9.282700421940929
1150,Z09,16,1002.0,15.968063872255488
1151,Z11,7,97.0,72.16494845360825
1152,Z20,10,103.0,97.08737864077669
1153,Z22,20,343.0,58.309037900874635
1154,Z24,1,26.0,38.46153846153847
1155,Z27,3,385.0,7.792207792207792
1156,Z29,3,28.0,107.14285714285714
1157,Z30,3,34.0,88.23529411764706
1158,Z38,4089,63442.0,64.45257085211689
1159,Z39,20,400.0,50.0
1160,Z40,4,286.0,13.986013986013987
1161,Z42,1,29.0,34.48275862068965
1162,Z43,9,808.0,11.138613861386139
1163,Z45,60,6335.0,9.471191791633782
1164,Z48,2,85.0,23.52941176470588
1165,Z51,17,1417.0,11.997177134791814
1166,Z52,67,408.0,164.2156862745098
1167,Z65,1,1.0,1000.0
1168,Z71,1,19.0,52.63157894736842
1169,Z76,13,101.0,128.7128712871287
1170,Z80,6,52.0,115.38461538461539
1171,Z83,8,650.0,12.307692307692308
1172,Unbekannt,1,13.0,76.92307692307693
